HPP:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 7		 | *******
2(3)	   | 18		 | ******************
3(4)	   | 21		 | *********************
4(5)	   | 20		 | ********************
5(6)	   | 21		 | *********************
6(7)	   | 16		 | ****************
7(8)	   | 3		 | ***
8(9)	   | 8		 | ********
9(10)	   | 10		 | **********
10(11)	   | 13		 | *************
11(12)	   | 18		 | ******************
12(13)	   | 15		 | ***************
13(14)	   | 9		 | *********
14(15)	   | 2		 | **
15(16)	   | 0		 | 
16(17)	   | 7		 | *******
17(18)	   | 17		 | *****************
18(19)	   | 21		 | *********************
19(20)	   | 20		 | ********************
20(21)	   | 21		 | *********************
21(22)	   | 16		 | ****************
22(23)	   | 3		 | ***
23(24)	   | 8		 | ********
24(25)	   | 10		 | **********
25(26)	   | 13		 | *************
26(27)	   | 17		 | *****************
27(28)	   | 15		 | ***************
28(29)	   | 8		 | ********
29(30)	   | 2		 | **
30(31)	   | 0		 | 
31(32)	   | 7		 | *******
32(33)	   | 17		 | *****************
33(34)	   | 21		 | *********************
34(35)	   | 20		 | ********************
35(36)	   | 21		 | *********************
36(37)	   | 16		 | ****************
37(38)	   | 3		 | ***
38(39)	   | 9		 | *********
39(40)	   | 11		 | ***********
40(41)	   | 14		 | **************
41(42)	   | 17		 | *****************
42(43)	   | 16		 | ****************
43(44)	   | 11		 | ***********
44(45)	   | 2		 | **
45(46)	   | 0		 | 

VPP:
==========================
INDEX(Row) | VALUE	 |
==========================
0(3)	   | 0		 | 
1(4)	   | 18		 | ******************
2(5)	   | 27		 | ***************************
3(6)	   | 24		 | ************************
4(7)	   | 12		 | ************
5(8)	   | 2		 | **
6(9)	   | 1		 | *
7(10)	   | 0		 | 
8(11)	   | 16		 | ****************
9(12)	   | 19		 | *******************
10(13)	   | 22		 | **********************
11(14)	   | 15		 | ***************
12(15)	   | 15		 | ***************
13(16)	   | 9		 | *********
14(17)	   | 0		 | 
15(18)	   | 1		 | *
16(19)	   | 3		 | ***
17(20)	   | 24		 | ************************
18(21)	   | 30		 | ******************************
19(22)	   | 27		 | ***************************
20(23)	   | 12		 | ************
21(24)	   | 6		 | ******
22(25)	   | 1		 | *
23(26)	   | 1		 | *
24(27)	   | 0		 | 
25(28)	   | 9		 | *********
26(29)	   | 18		 | ******************
27(30)	   | 24		 | ************************
28(31)	   | 21		 | *********************
29(32)	   | 9		 | *********
30(33)	   | 15		 | ***************
31(34)	   | 0		 | 
32(35)	   | 0		 | 
33(36)	   | 0		 | 
34(37)	   | 15		 | ***************
35(38)	   | 21		 | *********************
36(39)	   | 24		 | ************************
37(40)	   | 30		 | ******************************
38(41)	   | 18		 | ******************
39(42)	   | 3		 | ***
40(43)	   | 0		 | 
41(44)	   | 1		 | *
42(45)	   | 9		 | *********
43(46)	   | 15		 | ***************
44(47)	   | 15		 | ***************
45(48)	   | 12		 | ************
46(49)	   | 0		 | 

HPP Binary:
==========================
INDEX(Row) | VALUE	 |
==========================
0(1)	   | 0		 | 
1(2)	   | 1		 | *
2(3)	   | 1		 | *
3(4)	   | 1		 | *
4(5)	   | 1		 | *
5(6)	   | 1		 | *
6(7)	   | 1		 | *
7(8)	   | 1		 | *
